Date,Price,Open,High,Low,Vol.,Change %
05/06/2022,"1,208.273","1,208.273","1,208.273","1,208.273",,+2.47%
05/05/2022,"1,179.154","1,179.154","1,179.154","1,179.154",,+0.70%
05/04/2022,"1,170.903","1,170.903","1,170.903","1,170.903",,+4.07%
05/03/2022,"1,125.059","1,125.059","1,125.059","1,125.059",,-0.92%
05/02/2022,"1,135.535","1,135.535","1,135.535","1,135.535",,+2.13%
04/29/2022,"1,111.849","1,111.849","1,111.849","1,111.849",,+6.24%
04/28/2022,"1,046.527","1,046.527","1,046.527","1,046.527",,+0.00%
04/27/2022,"1,046.487","1,046.487","1,046.487","1,046.487",,+0.32%
04/26/2022,"1,043.171","1,043.171","1,043.171","1,043.171",,+0.40%
04/25/2022,"1,039.050","1,039.050","1,039.050","1,039.050",,-0.83%
04/22/2022,"1,047.797","1,047.797","1,047.797","1,047.797",,-0.38%
04/21/2022,"1,051.826","1,051.826","1,051.826","1,051.826",,+0.63%
04/20/2022,"1,045.193","1,045.193","1,045.193","1,045.193",,+0.09%
04/19/2022,"1,044.228","1,044.228","1,044.228","1,044.228",,-1.93%
04/18/2022,"1,064.791","1,064.791","1,064.791","1,064.791",,-0.05%
04/14/2022,"1,065.338","1,065.338","1,065.338","1,065.338",,+1.43%
04/13/2022,"1,050.297","1,050.297","1,050.297","1,050.297",,+2.35%
04/12/2022,"1,026.201","1,026.201","1,026.201","1,026.201",,+2.72%
04/11/2022,999.009,999.009,999.009,999.009,,-2.91%
04/08/2022,"1,028.936","1,028.936","1,028.936","1,028.936",,+1.96%
04/07/2022,"1,009.156","1,009.156","1,009.156","1,009.156",,-0.05%
04/06/2022,"1,009.655","1,009.655","1,009.655","1,009.655",,-3.02%
04/05/2022,"1,041.063","1,041.063","1,041.063","1,041.063",,-0.60%
04/04/2022,"1,047.310","1,047.310","1,047.310","1,047.310",,+0.62%
04/01/2022,"1,040.896","1,040.896","1,040.896","1,040.896",,-0.87%
03/31/2022,"1,050.047","1,050.047","1,050.047","1,050.047",,-1.14%
03/30/2022,"1,062.138","1,062.138","1,062.138","1,062.138",,+0.45%
03/29/2022,"1,057.342","1,057.342","1,057.342","1,057.342",,+0.14%
03/28/2022,"1,055.848","1,055.848","1,055.848","1,055.848",,-1.27%
03/25/2022,"1,069.437","1,069.437","1,069.437","1,069.437",,+0.49%
03/24/2022,"1,064.274","1,064.274","1,064.274","1,064.274",,-0.39%
03/23/2022,"1,068.404","1,068.404","1,068.404","1,068.404",,+0.88%
03/22/2022,"1,059.126","1,059.126","1,059.126","1,059.126",,-0.28%
03/21/2022,"1,062.120","1,062.120","1,062.120","1,062.120",,+1.76%
03/18/2022,"1,043.793","1,043.793","1,043.793","1,043.793",,+0.25%
03/17/2022,"1,041.213","1,041.213","1,041.213","1,041.213",,+3.38%
03/16/2022,"1,007.216","1,007.216","1,007.216","1,007.216",,-0.22%
03/15/2022,"1,009.403","1,009.403","1,009.403","1,009.403",,-3.75%
03/14/2022,"1,048.763","1,048.763","1,048.763","1,048.763",,-2.98%
03/11/2022,"1,080.942","1,080.942","1,080.942","1,080.942",,+3.39%
03/10/2022,"1,045.509","1,045.509","1,045.509","1,045.509",,-2.61%
03/09/2022,"1,073.552","1,073.552","1,073.552","1,073.552",,-8.54%
