Date,Price,Open,High,Low,Vol.,Change %
09/07/2025,691.00,685.75,704.25,672.25,210.06K,1.13%
08/31/2025,683.25,671.75,715.75,668.50,207.22K,1.18%
08/24/2025,675.25,677.25,693.75,668.00,197.97K,-0.81%
08/17/2025,680.75,647.00,684.25,638.00,329.09K,3.69%
08/10/2025,656.50,667.25,679.25,644.25,228.13K,-2.81%
08/03/2025,675.50,678.00,689.75,662.00,150.72K,-0.92%
07/27/2025,681.75,703.75,729.00,679.00,220.76K,-4.68%
07/20/2025,715.25,716.50,740.50,693.75,323.44K,1.24%
07/13/2025,706.50,704.25,735.00,673.50,495.53K,-0.81%
07/06/2025,712.25,739.25,818.25,689.00,190.73K,-4.40%
06/29/2025,745.00,664.00,748.25,661.75,189.60K,10.37%
06/22/2025,675.00,805.00,817.75,648.50,291.96K,-11.01%
06/15/2025,758.50,725.00,800.00,673.50,616.95K,10.85%
06/08/2025,684.25,636.75,707.75,633.00,404.43K,8.31%
06/01/2025,631.75,600.50,636.75,600.50,274.36K,5.47%
05/25/2025,599.00,613.75,624.75,595.25,240.45K,-2.12%
05/18/2025,612.00,619.50,623.25,600.25,393.09K,-1.13%
05/11/2025,619.00,605.00,635.00,605.00,552.12K,2.87%
05/04/2025,601.75,582.00,609.00,572.00,235.20K,2.73%
04/27/2025,585.75,633.00,633.00,578.00,369.47K,-6.80%
04/20/2025,628.50,631.75,639.00,614.00,266.82K,0.56%
04/13/2025,625.00,601.00,629.50,597.50,369.12K,4.95%
04/06/2025,595.50,617.00,632.00,567.00,263.78K,-3.29%
03/30/2025,615.75,673.00,695.75,606.00,294.58K,-7.99%
03/23/2025,669.25,670.50,684.00,666.75,283.71K,0.15%
03/16/2025,668.25,649.75,670.75,647.50,485.04K,4.29%
03/09/2025,640.75,654.75,661.00,638.25,648.48K,-2.47%
03/02/2025,657.00,680.00,683.50,641.75,701.09K,-3.03%
02/23/2025,677.50,697.50,704.25,666.25,420.40K,-3.59%
02/16/2025,702.75,702.75,721.50,695.75,453.27K,-1.64%
02/09/2025,714.50,709.75,739.50,699.75,325.75K,1.20%
02/02/2025,706.00,730.00,733.00,692.50,283.16K,-0.74%
01/26/2025,711.25,721.50,721.50,697.50,217.61K,-1.45%
01/19/2025,721.75,760.50,766.50,714.25,411.40K,-4.21%
01/12/2025,753.50,742.75,769.50,737.75,623.23K,6.28%
01/05/2025,709.00,706.00,732.50,693.25,199.40K,0.85%
12/29/2024,703.00,679.50,713.25,679.50,138.20K,3.31%
12/22/2024,680.50,676.50,683.25,666.50,92.62K,0.78%
12/15/2024,675.25,692.50,692.50,668.00,335.72K,-2.03%
12/08/2024,689.25,647.00,692.50,647.00,213.87K,6.41%
12/01/2024,647.75,667.50,681.25,645.00,208.29K,-4.32%
11/24/2024,677.00,699.50,700.50,665.00,232.25K,-2.97%
11/17/2024,697.75,663.75,704.75,659.75,420.54K,3.99%
11/10/2024,671.00,669.25,680.25,653.50,440.17K,0.37%
11/03/2024,668.50,677.25,698.50,667.75,254.44K,-0.52%
10/27/2024,672.00,665.00,689.25,633.75,323.80K,-0.63%
10/20/2024,676.25,650.50,679.75,649.00,293.79K,4.28%
10/13/2024,648.50,706.75,706.75,647.50,430.70K,-8.63%
10/06/2024,709.75,711.00,732.00,682.00,224.76K,-0.39%
09/29/2024,712.50,662.00,722.25,642.50,240.62K,8.37%
09/22/2024,657.50,668.00,676.00,643.00,330.28K,-1.24%
09/15/2024,665.75,642.75,671.25,635.75,394.39K,2.50%
09/08/2024,649.50,649.75,662.25,622.50,167.09K,-0.15%
09/01/2024,650.50,693.75,703.00,642.50,203.15K,-6.60%
08/25/2024,696.50,711.25,728.50,683.75,250.47K,-1.66%
08/18/2024,708.25,717.50,717.50,685.75,353.56K,-1.43%
08/11/2024,718.50,719.00,744.00,712.00,312.87K,-0.24%
08/04/2024,720.25,716.50,726.25,696.00,206.13K,1.05%
07/28/2024,712.75,746.50,753.00,710.00,249.27K,-3.22%
07/21/2024,736.50,745.00,759.75,736.00,298.36K,-2.42%
07/14/2024,754.75,773.00,777.75,742.75,423.99K,-3.14%
07/07/2024,779.25,797.75,797.75,765.75,242.01K,-3.50%
06/30/2024,807.50,785.75,819.25,785.50,306.88K,2.80%
06/23/2024,785.50,776.00,803.50,769.75,332.57K,0.29%
06/16/2024,783.25,761.25,794.25,757.50,441.54K,2.76%
06/09/2024,762.25,724.00,780.25,724.00,372.43K,5.54%
06/02/2024,722.25,733.00,736.00,695.50,266.41K,-1.30%
05/26/2024,731.75,742.00,767.25,726.75,226.43K,-0.98%
05/19/2024,739.00,765.00,769.50,732.75,306.50K,-3.08%
05/12/2024,762.50,746.75,766.00,732.00,413.25K,0.26%
05/05/2024,760.50,744.25,770.00,739.50,145.85K,1.91%
04/28/2024,746.25,783.00,790.00,739.75,188.18K,-5.27%
04/21/2024,787.75,778.75,793.25,766.00,238.29K,0.86%
04/14/2024,781.00,840.00,840.00,770.50,455.79K,-6.97%
04/07/2024,839.50,862.75,863.75,823.00,196.97K,-3.56%
03/31/2024,870.50,819.50,875.50,806.25,197.08K,6.55%
03/24/2024,817.00,823.75,837.25,802.75,170.98K,-0.82%
03/17/2024,823.75,838.00,863.25,815.25,380.18K,-1.76%
03/10/2024,838.50,827.50,841.50,804.75,357.98K,1.39%
03/03/2024,827.00,847.50,857.50,812.25,218.31K,-2.93%
02/25/2024,852.00,831.00,852.50,805.75,249.70K,2.25%
02/18/2024,833.25,853.25,858.75,819.50,306.36K,-1.71%
02/11/2024,847.75,907.00,913.00,838.50,429.19K,-7.68%
02/04/2024,918.25,824.00,932.50,815.50,187.52K,12.88%
01/28/2024,813.50,880.00,882.75,809.50,246.22K,-2.63%
01/21/2024,835.50,795.00,875.75,785.25,426.28K,4.93%
01/14/2024,796.25,783.25,806.50,768.00,486.21K,1.40%
01/07/2024,785.25,772.75,816.00,745.25,245.86K,2.55%
12/31/2023,765.75,758.00,776.00,740.75,162.55K,2.00%
12/24/2023,750.75,780.00,796.00,747.75,101.86K,-5.03%
12/17/2023,790.50,764.00,806.75,759.00,299.81K,3.50%
12/10/2023,763.75,770.75,784.25,715.25,286.89K,-1.32%
12/03/2023,774.00,790.75,805.25,759.75,158.42K,-4.03%
11/26/2023,806.50,812.75,846.50,785.50,222.69K,-3.27%
11/19/2023,833.75,795.25,842.50,792.50,235.22K,3.54%
11/12/2023,805.25,792.00,829.00,778.25,404.82K,-0.92%
11/05/2023,812.75,876.50,895.25,803.00,124.74K,-8.32%
10/29/2023,886.50,881.25,916.50,858.25,203.94K,0.88%
10/22/2023,878.75,920.50,925.00,858.50,213.04K,-5.84%
10/15/2023,933.25,935.75,942.50,890.50,309.31K,0.62%
10/08/2023,927.50,886.50,935.00,876.25,186.51K,6.82%
10/01/2023,868.25,995.25,"1,008.00",836.50,230.52K,-13.31%
09/24/2023,"1,001.50",982.00,"1,012.75",935.25,249.42K,1.93%
09/17/2023,982.50,989.50,"1,014.75",953.00,509.75K,-0.53%
09/10/2023,987.75,979.75,"1,020.00",967.75,295.49K,-0.10%
09/03/2023,988.75,917.25,991.25,912.50,180.04K,7.88%
08/27/2023,916.50,960.00,962.00,885.75,197.05K,-2.78%
08/20/2023,942.75,920.25,968.25,896.75,281.09K,2.86%
08/13/2023,916.50,908.25,923.00,875.75,354.20K,-0.05%
08/06/2023,917.00,909.75,964.00,858.50,157.01K,1.49%
07/30/2023,903.50,876.00,919.00,865.50,170.43K,3.38%
07/23/2023,874.00,803.75,881.75,795.00,230.15K,9.94%
07/16/2023,795.00,753.00,804.50,741.25,340.75K,5.16%
07/09/2023,756.00,752.75,767.75,741.00,216.96K,1.61%
07/02/2023,744.00,717.00,752.25,693.75,117.76K,4.90%
06/25/2023,709.25,705.00,722.75,688.00,140.79K,1.14%
06/18/2023,701.25,745.00,745.00,692.00,269.73K,-4.72%
06/11/2023,736.00,695.00,745.25,671.75,442.85K,3.95%
06/04/2023,708.00,698.25,720.25,684.00,163.30K,1.83%
05/28/2023,695.25,692.75,701.00,651.75,167.79K,0.40%
05/21/2023,692.50,682.50,702.00,671.25,219.66K,0.47%
05/14/2023,689.25,663.75,707.50,655.75,408.24K,3.03%
